Monitor Name,SN_NO2,WE_Zero_elec_NO2,WE_Zero_total_NO2,AUX_Zero_elec_NO2,AUX_Zero_total_NO2,WE_sens_NO2,WE_sens_NO2_mv.ppb
MESA1,202261404,242,240,238,236,-347,0.253
MESA2,202261438,233,232,227,227,-345,0.252
MESA3,202261429,229,228,235,234,-366,0.267
MESA4,202261430,236,234,247,245,-350,0.256
MESA5,202261421,238,232,230,226,-321,0.234
MESA6,202261432,237,236,237,236,-360,0.263
MESA7,202261439,233,233,238,238,-352,0.257
MESA8,202261435,228,228,240,238,-325,0.237
MESA9,202261423,232,230,242,240,-341,0.249
MESA10,202261406,239,238,236,234,-327,0.239
MESA11,202261411,235,234,244,244,-322,0.242
MESA12,202261422,227,224,250,248,-325,0.237
MESA13,202261410,228,225,240,238,-314,0.229
MESA14,202261453,233,233,230,230,-346,0.253
MESA15,202261425,234,229,243,240,-311,0.227
MESA16,202261424,240,237,245,242,-336,0.245
MESA17,202261402,230,227,233,231,-328,0.239
MESA18,202261407,234,230,238,233,-319,0.233
MESA19,202261412,241,239,231,229,-351,0.256
MESA20,202261427,251,250,241,240,-341,0.261
MESA21,202261419,247,245,240,238,-294,0.215
MESA22,202261454,240,237,233,231,-340,0.248
MESA23,202261420,233,233,236,236,-347,0.253
MESA24,202261441,229,230,235,235,-339,0.247
MESA25,202261416,233,230,245,243,-352,0.257
MESA26,202261418,231,229,251,248,-294,0.215
MESA27,202261451,225,225,252,254,-348,0.254
MESA28,202261414,231,230,240,238,-355,0.259
MESA29,202261440,230,229,240,241,-358,0.261
MESA30,202261436,222,222,240,239,-349,0.255
MESA31,202261401,234,233,234,236,-338,0.247
MESA32,202261426,235,230,235,233,-322,0.235
MESA33,202261446,226,222,231,228,-333,0.243
MESA34,202261417,231,233,237,238,-306,0.223
MESA35,202261447,237,236,242,241,-352,0.257
MESA36,202261456,236,234,245,243,-361,0.264
MESA37,202261443,235,234,240,241,-332,0.242
MESA38,,,,,,,
MESA39,,,,,,,
MESA40,,,,,,,
MESA41,,,,,,,
MESA42,,,,,,,
MESA43,,,,,,,
MESA44,,,,,,,
MESA45,,,,,,,
MESA46,,,,,,,
MESA47,,,,,,,
MESA48,,,,,,,
MESA49,,,,,,,
MESA50,,,,,,,
MESA51,,,,,,,
MESA52,,,,,,,
MESA53,,,,,,,
MESA54,,,,,,,
MESA55,,,,,,,
ACT1,202261445,240,238,246,245,-346,0.253
ACT2,202261450,242,239,242,240,-333,0.243
ACT3,202261428,229,228,230,229,-357,0.261
ACT4,202261448,241,239,240,237,-342,0.25
ACT5,202261431,239,239,231,232,-341,0.249
ACT6,202261449,240,239,234,234,-329,0.24
ACT7,202261405,243,241,239,236,-353,0.258
ACT8,202261403,241,239,236,235,-336,0.245
ACT9,202261437,234,234,240,240,-372,0.272
ACT10,202261415,231,230,238,236,-344,0.251
ACT11,202261413,251,247,242,241,-347,0.253
ACT12,202261444,237,234,238,235,-355,0.259
ACT13,202261409,239,235,229,226,-305,0.223
ACT14,202261452,247,248,233,233,-380,0.277
ACT15,202261434,237,236,234,233,-324,0.237
ACT16,202261408,249,247,235,236,-355,0.259
ACT17,202261455,223,220,226,224,-343,0.25
ACT18,202261433,245,242,233,232,-325,0.237
ACT19,,,,,,,
ACT20,,,,,,,
ACT21,,,,,,,
ACT22,,,,,,,
ACT23,,,,,,,
ACT24,,,,,,,
ACT25,,,,,,,
