Monitor Name,SN_O3,WE_Zero_elec_O3,WE_Zero_total_O3,AUX_Zero_elec_O3,AUX_Zero_total_O3,WE_sens_O3,WE_sens_O3_mv.ppb
MESA1,204260905,224,228,243,242,-430,0.314
MESA2,204260933,235,245,235,236,-479,0.35
MESA3,204260930,235,242,237,236,-479,0.35
MESA4,204260937,236,245,236,238,-463,0.338
MESA5,204260939,239,256,238,237,-439,0.32
MESA6,204260944,254,260,241,241,-432,0.315
MESA7,204260959,225,230,236,235,-451,0.329
MESA8,204260956,239,246,234,230,-394,0.288
MESA9,204260920,245,248,243,243,-413,0.301
MESA10,204260904,253,258,236,234,-401,0.293
MESA11,204260955,248,254,242,242,-454,0.331
MESA12,204260901,240,242,239,237,-451,0.329
MESA13,204260938,239,244,235,233,-442,0.323
MESA14,204260908,241,245,245,244,-432,0.315
MESA15,204260918,246,250,238,237,469,0.342
MESA16,204260941,241,251,232,231,-461,0.337
MESA17,204260917,233,237,240,239,-438,0.32
MESA18,204260927,246,254,230,231,-493,0.36
MESA19,204260924,233,242,244,241,-403,0.294
MESA20,204260923,234,243,234,234,-456,0.333
MESA21,204260925,229,237,231,244,-441,0.322
MESA22,204260919,226,230,245,244,-465,0.339
MESA23,204260929,231,240,228,229,-425,0.31
MESA24,204260949,245,253,238,241,-463,0.338
MESA25,204260909,252,255,243,241,-401,0.293
MESA26,204260946,239,245,230,226,-451,0.329
MESA27,204260922,228,243,233,234,-454,0.331
MESA28,204260948,232,237,241,238,-411,0.3
MESA29,204260940,240,248,242,243,-453,0.331
MESA30,204260954,234,238,227,223,-443,0.323
MESA31,204260951,238,245,245,244,-471,0.344
MESA32,204260916,220,240,249,250,-432,0.315
MESA33,204260931,227,232,243,242,-438,0.312
MESA34,204260913,236,252,231,229,-425,0.31
MESA35,204260926,242,248,254,255,-478,0.349
MESA36,204260945,241,246,247,246,-459,0.331
MESA37,204260953,228,237,232,233,-458,0.334
MESA38,,,,,,,
MESA39,,,,,,,
MESA40,,,,,,,
MESA41,,,,,,,
MESA42,,,,,,,
MESA43,,,,,,,
MESA44,,,,,,,
MESA45,,,,,,,
MESA46,,,,,,,
MESA47,,,,,,,
MESA48,,,,,,,
MESA49,,,,,,,
MESA50,,,,,,,
MESA51,,,,,,,
MESA52,,,,,,,
MESA53,,,,,,,
MESA54,,,,,,,
MESA55,,,,,,,
ACT1,204260902,234,238,226,226,-429,0.313
ACT2,204260928,233,240,240,240,-479,0.35
ACT3,204260935,237,245,255,256,-454,0.331
ACT4,204260947,235,251,237,239,-474,0.346
ACT5,204260903,240,244,231,234,-448,0.327
ACT6,204260942,252,258,229,229,-468,0.342
ACT7,204260934,243,248,225,223,-461,0.337
ACT8,204260915,235,243,243,243,-466,0.34
ACT9,204260957,239,248,244,245,-494,0.361
ACT10,204260912,240,246,232,232,-409,0.299
ACT11,204260910,238,244,227,227,-390,0.285
ACT12,204260943,218,226,228,227,-455,0.332
ACT13,204260921,242,246,234,233,-447,0.326
ACT14,204260950,234,240,243,242,-468,0.342
ACT15,204260911,236,240,220,220,-382,0.279
ACT16,204260914,248,255,234,237,-450,0.329
ACT17,204260936,242,250,227,226,-442,0.323
ACT18,204260952,238,248,234,235,-470,0.343
ACT19,,,,,,,
ACT20,,,,,,,
ACT21,,,,,,,
ACT22,,,,,,,
ACT23,,,,,,,
ACT24,,,,,,,
ACT25,,,,,,,
